gene,trait
NR,Type 2 diabetes
CDC123,Type 2 diabetes
CAMK1D,Type 2 diabetes
ZBED3,Type 2 diabetes
KLF14,Type 2 diabetes
TP53INP1,Type 2 diabetes
DUSP9,Type 2 diabetes
BCL11A,Type 2 diabetes
CHCHD9,Type 2 diabetes
ZFAND6,Type 2 diabetes
TCF2,Type 2 diabetes
JAZF1,Type 2 diabetes
IDE,Type 2 diabetes
THADA,Type 2 diabetes
VEGFA,Type 2 diabetes
NOTCH2,Type 2 diabetes
ADAM30,Type 2 diabetes
DCD,Type 2 diabetes
SYN2,Type 2 diabetes
ADAMTS9,Type 2 diabetes
PTPRD,Type 2 diabetes
SRR,Type 2 diabetes
ANK1,Type 2 diabetes
MGC21675,Type 2 diabetes
PALM2,Type 2 diabetes
AKAP2,Type 2 diabetes
SYK,Type 2 diabetes
SGCG,Type 2 diabetes
SACS,Type 2 diabetes
RHOU,Type 2 diabetes
WISP1,Type 2 diabetes
NXN,Type 2 diabetes
CTCFL,Type 2 diabetes
RBM38,Type 2 diabetes
HMG1L1,Type 2 diabetes
PCK1,Type 2 diabetes
SLC44A3,Type 2 diabetes
F3,Type 2 diabetes
RBM43,Type 2 diabetes
RND3,Type 2 diabetes
TMEM45B,Type 2 diabetes
BARX2,Type 2 diabetes
GALNTL4,Type 2 diabetes
LOC729013,Type 2 diabetes
HLA-DQA2,Type 2 diabetes
ADCY5,Type 2 diabetes
IG2BP2,Type 2 diabetes
GRB14,Type 2 diabetes
ST6GAL1,Type 2 diabetes
VPS26A,Type 2 diabetes
ROR2,Type 2 diabetes
OSBPL1A,Type 2 diabetes
LIMS2,Type 2 diabetes
DAAM1,Type 2 diabetes
LPP,Type 2 diabetes
CRHR2,Type 2 diabetes
PCBD2,Type 2 diabetes
PTEN,Type 2 diabetes
TLE4,Type 2 diabetes
UBE2E2,Type 2 diabetes
TMEM154,Type 2 diabetes
KCNK16,Type 2 diabetes
FAF1,Type 2 diabetes
PROX1,Type 2 diabetes
TCF19,Type 2 diabetes
POU5F1,Type 2 diabetes
TMEM18,Type 2 diabetes
ETV1,Type 2 diabetes
LYPLAL1,Type 2 diabetes
C6orf173,Type 2 diabetes
IL20RA,Type 2 diabetes
TMEM75,Type 2 diabetes
C10orf35,Type 2 diabetes
GLIS3,Type 2 diabetes
DGKB,Type 2 diabetes
RREB1,Type 2 diabetes
SSR1,Type 2 diabetes
ST64GAL1,Type 2 diabetes
ARL15,Type 2 diabetes
PLEKHA1,Type 2 diabetes
TLE1,Type 2 diabetes
ZMIZ1,Type 2 diabetes
JAG1,Type 2 diabetes
JMJD1C,Type 2 diabetes
MACF1,Type 2 diabetes
PATJ,Type 2 diabetes
DENND2C,Type 2 diabetes
PTGFRN,Type 2 diabetes
FAM63A,Type 2 diabetes
CPQ,Type 2 diabetes
TRHR,Type 2 diabetes
CASC11,Type 2 diabetes
PVT1,Type 2 diabetes
BOP1,Type 2 diabetes
HAUS6,Type 2 diabetes
FOCAD,Type 2 diabetes
TMCC1,Type 2 diabetes
TSC22D2,Type 2 diabetes
MBNL1,Type 2 diabetes
EGFEM1P,Type 2 diabetes
SLC2A2,Type 2 diabetes
ABCC5,Type 2 diabetes
PCGF3,Type 2 diabetes
MAEA,Type 2 diabetes
HTT,Type 2 diabetes
LCORL,Type 2 diabetes
GNPDA2,Type 2 diabetes
LINGO2,Type 2 diabetes
UBAP2,Type 2 diabetes
MTND2P8,Type 2 diabetes
ZNF169,Type 2 diabetes
ABO,Type 2 diabetes
GPSM1,Type 2 diabetes
NEUROG3,Type 2 diabetes
USP46,Type 2 diabetes
SCD5,Type 2 diabetes
FAM13A,Type 2 diabetes
SMARCAD1,Type 2 diabetes
SLC9B1,Type 2 diabetes
PABPC4L,Type 2 diabetes
PDGFC,Type 2 diabetes
ACSL1,Type 2 diabetes
ANKH,Type 2 diabetes
MRPS30,Type 2 diabetes
ANKRD55,Type 2 diabetes
INS,Type 2 diabetes
IGF2,Type 2 diabetes
PDE3B,Type 2 diabetes
GLI2,Type 2 diabetes
PABPC1P2,Type 2 diabetes
CYTIP,Type 2 diabetes
COBLL1,Type 2 diabetes
KIF9,Type 2 diabetes
RBM6,Type 2 diabetes
RFT1,Type 2 diabetes
CACNA2D3,Type 2 diabetes
PSMD6,Type 2 diabetes
SHQ1,Type 2 diabetes
ROBO2,Type 2 diabetes
SLC12A8,Type 2 diabetes
SLC35D3,Type 2 diabetes
SLC22A3,Type 2 diabetes
QKI,Type 2 diabetes
IGF2BP3,Type 2 diabetes
GCK,Type 2 diabetes
FBXL13,Type 2 diabetes
RELN,Type 2 diabetes
CTTNBP2,Type 2 diabetes
AOC1,Type 2 diabetes
MNX1,Type 2 diabetes
MSRA,Type 2 diabetes
XKR6,Type 2 diabetes
LPL,Type 2 diabetes
PURG,Type 2 diabetes
SEC16B,Type 2 diabetes
DSTYK,Type 2 diabetes
SRGAP2,Type 2 diabetes
ABCB10,Type 2 diabetes
GNG4,Type 2 diabetes
FAM49A,Type 2 diabetes
DTNB,Type 2 diabetes
GCKR,Type 2 diabetes
BNIPL,Type 2 diabetes
CEP68,Type 2 diabetes
DDX18,Type 2 diabetes
POC5,Type 2 diabetes
DMGDH,Type 2 diabetes
RASA1,Type 2 diabetes
SLCO6A1,Type 2 diabetes
PAM,Type 2 diabetes
PHF15,Type 2 diabetes
MHC,Type 2 diabetes
LRFN2,Type 2 diabetes
TFAP2B,Type 2 diabetes
SLC25A51P1,Type 2 diabetes
BEND3,Type 2 diabetes
CENPW,Type 2 diabetes
SOGA3,Type 2 diabetes
GABRA4,Type 2 diabetes
COX7B2,Type 2 diabetes
C14orf70,Type 2 diabetes
DNER,Type 2 diabetes
SLC16A13,Type 2 diabetes
SLC16A11,Type 2 diabetes
GRK5,Type 2 diabetes
FAM58A,Type 2 diabetes
SRBD1,Type 2 diabetes
TYW5,Type 2 diabetes
SATB2,Type 2 diabetes
LRIG1,Type 2 diabetes
KBTBD8,Type 2 diabetes
BCL6,Type 2 diabetes
SOCS5P5,Type 2 diabetes
MARCKS,Type 2 diabetes
MTHFD1L,Type 2 diabetes
AKAP12,Type 2 diabetes
ADAMTS20,Type 2 diabetes
GTF2F2,Type 2 diabetes
TPT1,Type 2 diabetes
LINC00348,Type 2 diabetes
C18orf42,Type 2 diabetes
KLF5,Type 2 diabetes
KLF12,Type 2 diabetes
CPPED1,Type 2 diabetes
SNX29,Type 2 diabetes
COMMD7,Type 2 diabetes
BCL9,Type 2 diabetes
CHD1L,Type 2 diabetes
TMEM167A,Type 2 diabetes
XRCC4,Type 2 diabetes
ATP6AP1L,Type 2 diabetes
CCDC85A,Type 2 diabetes
FAM60A,Type 2 diabetes
DMRTA1,Type 2 diabetes
ATP8B2,Type 2 diabetes
MIR4686,Type 2 diabetes
INAFM2,Type 2 diabetes
ASB3,Type 2 diabetes
RPL19P16,Type 2 diabetes
C16orf74,Type 2 diabetes
ADH5P4,Type 2 diabetes
ZBTB20,Type 2 diabetes
KIAA1456,Type 2 diabetes
SALL4P5,Type 2 diabetes
IGFBP2,Type 2 diabetes
C2CD4A/B,Type 2 diabetes
GCC1,Type 2 diabetes
FSCN3,Type 2 diabetes
PAX4,Type 2 diabetes
MIR129,Type 2 diabetes
LEP,Type 2 diabetes
CDKAL,Type 2 diabetes
GALNT14,Type 2 diabetes
CAPN13,Type 2 diabetes
HLA-B,Type 2 diabetes
HECW1,Type 2 diabetes
CPA6,Type 2 diabetes
INTS8,Type 2 diabetes
ASCL2,Type 2 diabetes
TH,Type 2 diabetes
ANXA2,Type 2 diabetes
TMEM175,Type 2 diabetes
ARF5,Type 2 diabetes
SND1,Type 2 diabetes
ZFAND3,Type 2 diabetes
FITM2,Type 2 diabetes
R3HDML,Type 2 diabetes
WWOX,Type 2 diabetes
ZC3H11B,Type 2 diabetes
CAMKK2,Type 2 diabetes
CALCOCO2,Type 2 diabetes
ATP5G1,Type 2 diabetes
UBE2Z,Type 2 diabetes
SNF8,Type 2 diabetes
GIP,Type 2 diabetes
EHMT2,Type 2 diabetes
AGTR2,Type 2 diabetes
CDKN2A/B,Type 2 diabetes
CILP2,Type 2 diabetes
TMEM155,Type 2 diabetes
JADE2,Type 2 diabetes
HLA-DRB5,Type 2 diabetes
C6orf10,Type 2 diabetes
BRAF,Type 2 diabetes
KCNU1,Type 2 diabetes
CDKN2A/2B,Type 2 diabetes
MIR17HG,Type 2 diabetes
CTRB1/2,Type 2 diabetes
ABCB9,Type 2 diabetes
GATAD2A,Type 2 diabetes
APOC1,Type 2 diabetes
PROX1-AS1,Type 2 diabetes
BCL2L11,Type 2 diabetes
AS2,Type 2 diabetes
HLA-DQA1,Type 2 diabetes
BCL2,Type 2 diabetes
CISD2,Type 2 diabetes
HHEX-IDE,Type 2 diabetes
PCSK6,Type 2 diabetes
AUTS2,Type 2 diabetes
NTRK2,Type 2 diabetes
SOX11,Type 2 diabetes
CTBP1,Type 2 diabetes
SFI1,Type 2 diabetes
EML4,Type 2 diabetes
RPSAP52,Type 2 diabetes
SOCS2,Type 2 diabetes
OASL,Type 2 diabetes
PITPNM2,Type 2 diabetes
ZNF664-FAM101A,Type 2 diabetes
LOC105370275,Type 2 diabetes
LOC101929457,Type 2 diabetes
LOC105370965,Type 2 diabetes
FAM234A,Type 2 diabetes
CTRB1,Type 2 diabetes
STAT3,Type 2 diabetes
OSBPL7,Type 2 diabetes
TEX14,Type 2 diabetes
TACO1,Type 2 diabetes
SUGP1,Type 2 diabetes
LOC105372562,Type 2 diabetes
FOXA2,Type 2 diabetes
EIF2S2,Type 2 diabetes
HORMAD2,Type 2 diabetes
SAMM50,Type 2 diabetes
LOC105378797,Type 2 diabetes
UBBP1,Type 2 diabetes
GBAS,Type 2 diabetes
CFAP77,Type 2 diabetes
CCDC77,Type 2 diabetes
SFTA3,Type 2 diabetes
NR2F2-AS1,Type 2 diabetes
XYLT1,Type 2 diabetes
TYRL,Type 2 diabetes
