gene,trait
LMTK2,Prostate cancer
KLK3,Prostate cancer
SLC22A3,Prostate cancer
CNNM2,Prostate cancer
CUEDC2,Prostate cancer
CYP17A1,Prostate cancer
FBXL15,Prostate cancer
PSD,Prostate cancer
SFXN2,Prostate cancer
SUFU,Prostate cancer
ARL3,Prostate cancer
ACTR1A,Prostate cancer
AS3MT,Prostate cancer
TRIM8,Prostate cancer
WBP1L,Prostate cancer
C10orf95,Prostate cancer
MMP8,Prostate cancer
BIRC2,Prostate cancer
MMP10,Prostate cancer
MMP20,Prostate cancer
MMP27,Prostate cancer
MMP7,Prostate cancer
YAP1,Prostate cancer
BIRC3,Prostate cancer
TMEM123,Prostate cancer
GEMIN4,Prostate cancer
GLOD4,Prostate cancer
NXN,Prostate cancer
VPS53,Prostate cancer
HRH3,Prostate cancer
OSBPL2,Prostate cancer
RPS21,Prostate cancer
LAMA5,Prostate cancer
ADRM1,Prostate cancer
CABLES2,Prostate cancer
GATA5,Prostate cancer
CYS1,Prostate cancer
GRHL1,Prostate cancer
KLF11,Prostate cancer
RRM2,Prostate cancer
TAF1B,Prostate cancer
DTYMK,Prostate cancer
FARP2,Prostate cancer
HDLBP,Prostate cancer
STK25,Prostate cancer
THAP4,Prostate cancer
ANO7,Prostate cancer
ATG4B,Prostate cancer
BOK,Prostate cancer
ATP6V1A,Prostate cancer
BOC,Prostate cancer
NAA50,Prostate cancer
SIDT1,Prostate cancer
SPICE1,Prostate cancer
COX18,Prostate cancer
AFM,Prostate cancer
RASSF6,Prostate cancer
ALB,Prostate cancer
AFP,Prostate cancer
ANKRD17,Prostate cancer
BOD1,Prostate cancer
STC2,Prostate cancer
ARMC2,Prostate cancer
SESN1,Prostate cancer
CEP57L1,Prostate cancer
FOXO3,Prostate cancer
RGS17,Prostate cancer
FBXO5,Prostate cancer
MTRF1L,Prostate cancer
SP8,Prostate cancer
ABCB5,Prostate cancer
EBF2,Prostate cancer
TBX5,Prostate cancer
DDHD1,Prostate cancer
TXNDC16,Prostate cancer
FERMT2,Prostate cancer
GNPNAT1,Prostate cancer
GPR137C,Prostate cancer
PSMC6,Prostate cancer
STYX,Prostate cancer
RAD51B,Prostate cancer
ZFP36L1,Prostate cancer
ACTN1,Prostate cancer
NGFR,Prostate cancer
PHB,Prostate cancer
PHOSPHO1,Prostate cancer
HOXB13,Prostate cancer
SPOP,Prostate cancer
ABI3,Prostate cancer
B4GALNT2,Prostate cancer
GNGT2,Prostate cancer
IGF2BP1,Prostate cancer
SALL3,Prostate cancer
ATP9B,Prostate cancer
ADAM15,Prostate cancer
ADAR,Prostate cancer
CKS1B,Prostate cancer
DCST1,Prostate cancer
DCST2,Prostate cancer
EFNA3,Prostate cancer
EFNA4,Prostate cancer
FLAD1,Prostate cancer
KCNN3,Prostate cancer
LENEP,Prostate cancer
PBXIP1,Prostate cancer
DPM3,Prostate cancer
PYGO2,Prostate cancer
EFNA1,Prostate cancer
SHC1,Prostate cancer
SLC50A1,Prostate cancer
ZBTB7B,Prostate cancer
PMVK,Prostate cancer
LRRN2,Prostate cancer
PIK3C2B,Prostate cancer
MDM4,Prostate cancer
PPP1R15B,Prostate cancer
PLEKHA6,Prostate cancer
CYP21A2,Prostate cancer
FKBPL,Prostate cancer
ATF6B,Prostate cancer
AGER,Prostate cancer
PPT2,Prostate cancer
HLA-DRA,Prostate cancer
RNF5,Prostate cancer
CFB,Prostate cancer
TNXB,Prostate cancer
HLA-DQB1,Prostate cancer
NOTCH4,Prostate cancer
SKIV2L,Prostate cancer
STK19,Prostate cancer
GPSM3,Prostate cancer
PBX2,Prostate cancer
EGFL8,Prostate cancer
AGPAT1,Prostate cancer
C2,Prostate cancer
C4A,Prostate cancer
PRRT1,Prostate cancer
BTNL2,Prostate cancer
C4B,Prostate cancer
HLA-DRB5,Prostate cancer
HLA-DRB1,Prostate cancer
HLA-DQA1,Prostate cancer
STMN3,Prostate cancer
ZBTB46,Prostate cancer
ZGPAT,Prostate cancer
ABHD16B,Prostate cancer
ARFRP1,Prostate cancer
DNAJC5,Prostate cancer
EEF1A2,Prostate cancer
GMEB2,Prostate cancer
LIME1,Prostate cancer
PPDPF,Prostate cancer
PRPF6,Prostate cancer
PTK6,Prostate cancer
RTEL1,Prostate cancer
SAMD10,Prostate cancer
SRMS,Prostate cancer
TNFRSF6B,Prostate cancer
TPD52L2,Prostate cancer
UCKL1,Prostate cancer
SLC2A4RG,Prostate cancer
ZNF512B,Prostate cancer
MLPH,Prostate cancer
SLC22A1,Prostate cancer
BIK,Prostate cancer
KRT8,Prostate cancer
EIF4B,Prostate cancer
PKD1L3,Prostate cancer
CDKAL1,Prostate cancer
PARG,Prostate cancer
TIMM23,Prostate cancer
PRKCI,Prostate cancer
MYEOV,Prostate cancer
TERT,Prostate cancer
CLDN11,Prostate cancer
SKIL,Prostate cancer
GGCX,Prostate cancer
VAMP8,Prostate cancer
VAMP5,Prostate cancer
RNF181,Prostate cancer
ZBTB38,Prostate cancer
FGF10,Prostate cancer
CCHCR1,Prostate cancer
PRPH,Prostate cancer
KLF4,Prostate cancer
RAD23B,Prostate cancer
SLC22A2,Prostate cancer
ESR2,Prostate cancer
VGLL3,Prostate cancer
IRX4,Prostate cancer
NKX3-1,Prostate cancer
POU5F1B,Prostate cancer
KLF5,Prostate cancer
APOLD1,Prostate cancer
FGFR2,Prostate cancer
WDR11,Prostate cancer
KLK2,Prostate cancer
WDPCP,Prostate cancer
SUN2,Prostate cancer
SOX9,Prostate cancer
MYC,Prostate cancer
SLC41A1,Prostate cancer
MYO6,Prostate cancer
SIX1,Prostate cancer
PHLPP2,Prostate cancer
ADNP,Prostate cancer
TMPRSS2,Prostate cancer
TBX1,Prostate cancer
GOLPH3L,Prostate cancer
NOL10,Prostate cancer
NEDD9,Prostate cancer
TRIM31,Prostate cancer
TNS3,Prostate cancer
HTR3B,Prostate cancer
TTC9,Prostate cancer
PEX14,Prostate cancer
IRS2,Prostate cancer
CHEK2,Prostate cancer
TMEM17,Prostate cancer
GATA2,Prostate cancer
ZMIZ1,Prostate cancer
SLC52A3,Prostate cancer
FAM110A,Prostate cancer
ADAMTS7,Coronary artery disease
SORT1,Coronary artery disease
CDKN2A,Coronary artery disease
CDKN2B,Coronary artery disease
PLCB2,Coronary artery disease
VPS33B,Coronary artery disease
CXCL8,Coronary artery disease
TMOD4,Coronary artery disease
COL6A3,Coronary artery disease
ZNF77,Coronary artery disease
ADGRL3,Coronary artery disease
OR52E4,Coronary artery disease
ALDH2,Coronary artery disease
OSR1,Coronary artery disease
APOB,Coronary artery disease
FGD5,Coronary artery disease
TTC29,Coronary artery disease
EDNRA,Coronary artery disease
GFOD1,Coronary artery disease
MICB,Coronary artery disease
PBX2,Coronary artery disease
LPA,Coronary artery disease
FLT1,Coronary artery disease
COL4A1,Coronary artery disease
COL4A2,Coronary artery disease
HHIPL1,Coronary artery disease
LDLR,Coronary artery disease
DOCK6,Coronary artery disease
MYO9B,Coronary artery disease
CYP2B6,Coronary artery disease
CYP2A13,Coronary artery disease
LMOD1,Coronary artery disease
MIA3,Coronary artery disease
AGT,Coronary artery disease
CAPN9,Coronary artery disease
TDRD15,Coronary artery disease
ABCG8,Coronary artery disease
PRKCE,Coronary artery disease
TMEM17,Coronary artery disease
EHBP1,Coronary artery disease
ACTR2,Coronary artery disease
SPRED2,Coronary artery disease
SH2D6,Coronary artery disease
MERTK,Coronary artery disease
ARHGAP15,Coronary artery disease
FAP,Coronary artery disease
IFIH1,Coronary artery disease
FIGN,Coronary artery disease
GRB14,Coronary artery disease
CARF,Coronary artery disease
FN1,Coronary artery disease
TNS1,Coronary artery disease
PID1,Coronary artery disease
GIGYF2,Coronary artery disease
ARHGEF26,Coronary artery disease
CCNL1,Coronary artery disease
FNDC3B,Coronary artery disease
DOK7,Coronary artery disease
CLOCK,Coronary artery disease
REST,Coronary artery disease
PCSK9,Coronary artery disease
PLPP3,Coronary artery disease
SPINK2,Coronary artery disease
MAP9,Coronary artery disease
IRX1,Coronary artery disease
PHACTR1,Coronary artery disease
MUC22,Coronary artery disease
MRPL14,Coronary artery disease
CD109,Coronary artery disease
HDAC9,Coronary artery disease
TWIST1,Coronary artery disease
C8orf34,Coronary artery disease
ABCA1,Coronary artery disease
LIPA,Coronary artery disease
CNNM2,Coronary artery disease
BET1L,Coronary artery disease
SIPA1,Coronary artery disease
DYNC2H1,Coronary artery disease
YBX3,Coronary artery disease
ATP2B1,Coronary artery disease
FGD6,Coronary artery disease
ACAD10,Coronary artery disease
CHRNB4,Coronary artery disease
MFGE8,Coronary artery disease
ABHD2,Coronary artery disease
FES,Coronary artery disease
BCAR1,Coronary artery disease
CFDP1,Coronary artery disease
BCAS3,Coronary artery disease
PECAM1,Coronary artery disease
RNF213,Coronary artery disease
CTAGE1,Coronary artery disease
SPC24,Coronary artery disease
AP1M1,Coronary artery disease
KLF2,Coronary artery disease
TMEM91,Coronary artery disease
APOC1,Coronary artery disease
PALLD,Coronary artery disease
SORBS2,Coronary artery disease
TAS2R1,Coronary artery disease
ANKRD31,Coronary artery disease
HMGCR,Coronary artery disease
FGF1,Coronary artery disease
HDGFL1,Coronary artery disease
KCNK5,Coronary artery disease
VEGFA,Coronary artery disease
PRIM2,Coronary artery disease
IBTK,Coronary artery disease
ANKRD6,Coronary artery disease
TAB2,Coronary artery disease
PLG,Coronary artery disease
MAD1L1,Coronary artery disease
TMEM106B,Coronary artery disease
TBX20,Coronary artery disease
CCT6A,Coronary artery disease
DUS4L,Coronary artery disease
ZC3HC1,Coronary artery disease
TBXAS1,Coronary artery disease
ADAMTS3,Coronary artery disease
PRDM8,Coronary artery disease
FGF5,Coronary artery disease
COPS8,Coronary artery disease
BSN,Coronary artery disease
MITF,Coronary artery disease
UMPS,Coronary artery disease
MSL2,Coronary artery disease
PCCB,Coronary artery disease
MRAS,Coronary artery disease
TTC34,Coronary artery disease
ACTRT2,Coronary artery disease
SF3A3,Coronary artery disease
FHL3,Coronary artery disease
BSND,Coronary artery disease
CELSR2,Coronary artery disease
DCLRE1B,Coronary artery disease
NGF,Coronary artery disease
VANGL1,Coronary artery disease
LINGO4,Coronary artery disease
IL6R,Coronary artery disease
ATP1B1,Coronary artery disease
RASGEF1B,Coronary artery disease
HNRNPD,Coronary artery disease
BMPR1B,Coronary artery disease
MAD2L1,Coronary artery disease
ZNF827,Coronary artery disease
DAB1,Coronary artery disease
SCML4,Coronary artery disease
THSD7A,Coronary artery disease
SMARCA4,Coronary artery disease
KCNE2,Coronary artery disease
TCF21,Coronary artery disease
WDR12,Coronary artery disease
SMG6,Coronary artery disease
RASD1,Coronary artery disease
PEMT,Coronary artery disease
RAI1,Coronary artery disease
ABO,Coronary artery disease
LPL,Coronary artery disease
APOA1,Coronary artery disease
SH2B3,Coronary artery disease
NT5C2,Coronary artery disease
CYP17A1,Coronary artery disease
SLC22A3,Coronary artery disease
CXCL12,Coronary artery disease
ANKS1A,Coronary artery disease
PLCL1,Coronary artery disease
KCNAB1,Coronary artery disease
DCLK2,Coronary artery disease
ITGA1,Coronary artery disease
TRPA1,Coronary artery disease
PDGFD,Coronary artery disease
APOE,Coronary artery disease
VAMP5,Coronary artery disease
VAMP8,Coronary artery disease
GGCX,Coronary artery disease
ZEB2,Coronary artery disease
FURIN,Coronary artery disease
TRIB1,Coronary artery disease
NOA1,Coronary artery disease
NOS3,Coronary artery disease
SMAD3,Coronary artery disease
PMAIP1,Coronary artery disease
MC4R,Coronary artery disease
ADORA2A,Coronary artery disease
ZNF507,Coronary artery disease
KSR2,Coronary artery disease
SWAP70,Coronary artery disease
NPC1,Coronary artery disease
MYH11,Coronary artery disease
ST3GAL4,Coronary artery disease
ARL15,Coronary artery disease
NFIB,Coronary artery disease
MAST4,Coronary artery disease
HSF2BP,Coronary artery disease
SCAF11,Coronary artery disease
OSM,Coronary artery disease
PRDM6,Coronary artery disease
CCM2,Coronary artery disease
BMP1,Coronary artery disease
SFTPC,Coronary artery disease
MCF2L,Coronary artery disease
PTK7,Coronary artery disease
C2,Coronary artery disease
NME7,Coronary artery disease
PLCG2,Coronary artery disease
TRIM5,Coronary artery disease
TRIM22,Coronary artery disease
SEMA5A,Coronary artery disease
MAP1S,Coronary artery disease
PGPEP1,Coronary artery disease
ELL,Coronary artery disease
GPR149,Coronary artery disease
BUD13,Coronary artery disease
ZPR1,Coronary artery disease
STAG1,Coronary artery disease
CYP46A1,Coronary artery disease
EML1,Coronary artery disease
GIP,Coronary artery disease
B4GALNT2,Coronary artery disease
PHB,Coronary artery disease
CDH13,Coronary artery disease
CCDC97,Coronary artery disease
B9D2,Coronary artery disease
TGFB1,Coronary artery disease
CALCRL,Coronary artery disease
NAT2,Coronary artery disease
MAP3K7CL,Coronary artery disease
AKAP12,Coronary artery disease
EFCAB13,Coronary artery disease
CETP,Coronary artery disease
HERPUD1,Coronary artery disease
PRDM16,Coronary artery disease
SERPINA1,Coronary artery disease
C1S,Coronary artery disease
C5,Coronary artery disease
GDPD5,Coronary artery disease
SERPINH1,Coronary artery disease
DHX58,Coronary artery disease
KAT2A,Coronary artery disease
IFI35,Coronary artery disease
RND2,Coronary artery disease
VAT1,Coronary artery disease
ANKRD13B,Coronary artery disease
CORO6,Coronary artery disease
SHROOM3,Coronary artery disease
CENPW,Coronary artery disease
PDS5B,Coronary artery disease
ARHGAP42,Coronary artery disease
HTRA1,Coronary artery disease
PKD1L3,Coronary artery disease
TDRKH,Coronary artery disease
QRICH1,Coronary artery disease
ANGPTL4,Coronary artery disease
HNRNPM,Coronary artery disease
PRAM1,Coronary artery disease
UHRF1BP1,Coronary artery disease
TSPAN14,Coronary artery disease
GGT7,Coronary artery disease
HGFAC,Coronary artery disease
BCAP29,Coronary artery disease
SOX6,Coronary artery disease
PLEKHA7,Coronary artery disease
FOXC1,Coronary artery disease
GMDS,Coronary artery disease
GALNT2,Coronary artery disease
CDKN1A,Coronary artery disease
VWDE,Coronary artery disease
ZFPM2,Coronary artery disease
DAGLB,Coronary artery disease
RAC1,Coronary artery disease
C1GALT1,Coronary artery disease
SKI,Coronary artery disease
MORN1,Coronary artery disease
AHDC1,Coronary artery disease
PKD2L1,Coronary artery disease
ETV1,Coronary artery disease
ZBTB46,Coronary artery disease
PPFIA1,Coronary artery disease
CKB,Coronary artery disease
MARK3,Coronary artery disease
EXOC6,Coronary artery disease
PLCE1,Coronary artery disease
SMAD9,Coronary artery disease
DOCK5,Coronary artery disease
HIVEP2,Coronary artery disease
DDX41,Coronary artery disease
DOK3,Coronary artery disease
PDLIM7,Coronary artery disease
SLC9A8,Coronary artery disease
SPATA2,Coronary artery disease
GUK1,Coronary artery disease
VPS11,Coronary artery disease
LOXL1,Coronary artery disease
BTBD11,Coronary artery disease
IFT140,Coronary artery disease
TMEM204,Coronary artery disease
CSNK1G2,Coronary artery disease
PARP1,Coronary artery disease
SLC25A21,Coronary artery disease
EHBP1L1,Coronary artery disease
FAM89B,Coronary artery disease
DPYD,Coronary artery disease
RSBN1,Coronary artery disease
IGF2BP2,Coronary artery disease
FNDC1,Coronary artery disease
XKR4,Coronary artery disease
LYRM2,Coronary artery disease
MDN1,Coronary artery disease
USP43,Coronary artery disease
ARHGEF12,Coronary artery disease
FBXL20,Coronary artery disease
ZNF787,Coronary artery disease
ARHGAP26,Coronary artery disease
HNF1A,Coronary artery disease
THADA,Coronary artery disease
ABCG5,Coronary artery disease
SCARB1,Coronary artery disease
ATXN2,Coronary artery disease
AIDA,Coronary artery disease
SLC2A12,Coronary artery disease
NBEAL1,Coronary artery disease
TOMM40,Coronary artery disease
EXOC3L2,Coronary artery disease
EPOR,Coronary artery disease
RGL3,Coronary artery disease
SWSAP1,Coronary artery disease
PSRC1,Coronary artery disease
EDN1,Coronary artery disease
DNAJC13,Coronary artery disease
HSPB9,Coronary artery disease
RAB5C,Coronary artery disease
SLC22A4,Coronary artery disease
ZHX3,Coronary artery disease
ARID4A,Coronary artery disease
HSD17B12,Coronary artery disease
UNC5C,Coronary artery disease
PLEKHG1,Coronary artery disease
PARP12,Coronary artery disease
GEM,Coronary artery disease
TTC39B,Coronary artery disease
TEK,Coronary artery disease
ANP32B,Coronary artery disease
SVEP1,Coronary artery disease
DAB2IP,Coronary artery disease
FHL5,Coronary artery disease
IGF2R,Coronary artery disease
CNPY4,Coronary artery disease
MBLAC1,Coronary artery disease
TAF6,Coronary artery disease
ASZ1,Coronary artery disease
MAP3K11,Coronary artery disease
CWF19L2,Coronary artery disease
TSPAN9,Coronary artery disease
PPHLN1,Coronary artery disease
LRP1,Coronary artery disease
NDUFA12,Coronary artery disease
CCDC92,Coronary artery disease
DNAH10,Coronary artery disease
N4BP2L2,Coronary artery disease
PCIF1,Coronary artery disease
ZNF335,Coronary artery disease
CDC25A,Coronary artery disease
RBPMS2,Coronary artery disease
FKBP5,Coronary artery disease
DDX59,Coronary artery disease
MAT2A,Coronary artery disease
DHX38,Coronary artery disease
TXNL4B,Coronary artery disease
CLCN6,Coronary artery disease
MTHFR,Coronary artery disease
LDLRAD2,Coronary artery disease
PKN2,Coronary artery disease
ADAMTSL4,Coronary artery disease
MCL1,Coronary artery disease
ATF3,Coronary artery disease
GOSR2,Coronary artery disease
APOA5,Coronary artery disease
ZNF652,Coronary artery disease
AS3MT,Coronary artery disease
PROCR,Coronary artery disease
ARNTL,Coronary artery disease
NEK9,Coronary artery disease
MAP3K1,Coronary artery disease
SETD9,Coronary artery disease
SRFBP1,Coronary artery disease
CEP120,Coronary artery disease
NEDD9,Coronary artery disease
CFB,Coronary artery disease
NELFE,Coronary artery disease
SKIV2L,Coronary artery disease
ABCC10,Coronary artery disease
ADCY3,Coronary artery disease
CENPO,Coronary artery disease
DYNC2LI1,Coronary artery disease
PLEKHH2,Coronary artery disease
MPHOSPH10,Coronary artery disease
IL1F10,Coronary artery disease
SFT2D3,Coronary artery disease
WDR33,Coronary artery disease
KCNH7,Coronary artery disease
COL4A4,Coronary artery disease
KCNJ13,Coronary artery disease
AMT,Coronary artery disease
RHOA,Coronary artery disease
TCTA,Coronary artery disease
RGS12,Coronary artery disease
POLR2B,Coronary artery disease
PDLIM5,Coronary artery disease
TBX2,Coronary artery disease
APOH,Coronary artery disease
ABCA8,Coronary artery disease
CD300LF,Coronary artery disease
RAB37,Coronary artery disease
FBF1,Coronary artery disease
LIPG,Coronary artery disease
KANK2,Coronary artery disease
FCHO1,Coronary artery disease
FOXA3,Coronary artery disease
SYMPK,Coronary artery disease
PRKD2,Coronary artery disease
DSTN,Coronary artery disease
RRBP1,Coronary artery disease
NCOA6,Coronary artery disease
ITPKA,Coronary artery disease
RTF1,Coronary artery disease
STOML1,Coronary artery disease
AKAP13,Coronary artery disease
KIAA1217,Coronary artery disease
NRP1,Coronary artery disease
PRKG1,Coronary artery disease
TCF7L2,Coronary artery disease
DENND5A,Coronary artery disease
BDNF,Coronary artery disease
RRP1B,Coronary artery disease
CABIN1,Coronary artery disease
SUSD2,Coronary artery disease
SPECC1L,Coronary artery disease
APOA4,Coronary artery disease
RAB23,Coronary artery disease
SLC18A1,Coronary artery disease
TRPM3,Coronary artery disease
JCAD,Coronary artery disease
NAA25,Coronary artery disease
MORF4L1,Coronary artery disease
CCDC68,Coronary artery disease
C11orf58,Coronary artery disease
WT1,Coronary artery disease
LRRC10B,Coronary artery disease
R3HDM2,Coronary artery disease
KCTD10,Coronary artery disease
PSD3,Coronary artery disease
CDH17,Coronary artery disease
NCALD,Coronary artery disease
KLF4,Coronary artery disease
ACTL7B,Coronary artery disease
CDC123,Coronary artery disease
OIT3,Coronary artery disease
SIRT3,Coronary artery disease
FARP1,Coronary artery disease
EIF2B2,Coronary artery disease
TLNRD1,Coronary artery disease
CFAP161,Coronary artery disease
HPR,Coronary artery disease
FOXL1,Coronary artery disease
COPRS,Coronary artery disease
WNT9B,Coronary artery disease
MBTD1,Coronary artery disease
PRKAR1A,Coronary artery disease
SMAD7,Coronary artery disease
DYM,Coronary artery disease
MMP24,Coronary artery disease
MMP9,Coronary artery disease
PREX1,Coronary artery disease
ZNF831,Coronary artery disease
RGS19,Coronary artery disease
CASTOR1,Coronary artery disease
CTSS,Coronary artery disease
TTC32,Coronary artery disease
LDAH,Coronary artery disease
MREG,Coronary artery disease
EFHD1,Coronary artery disease
PDE5A,Coronary artery disease
NRSN1,Coronary artery disease
TNXB,Coronary artery disease
ATF6B,Coronary artery disease
SAYSD1,Coronary artery disease
ZNF32,Coronary artery disease
WBP1L,Coronary artery disease
WDR11,Coronary artery disease
FGFR2,Coronary artery disease
RASSF10,Coronary artery disease
RDX,Coronary artery disease
FDX1,Coronary artery disease
HOXC4,Coronary artery disease
SMUG1,Coronary artery disease
KLHL29,Coronary artery disease
ARHGAP20,Coronary artery disease
NR2C1,Coronary artery disease
CUX2,Coronary artery disease
UBE3B,Coronary artery disease
RPH3A,Coronary artery disease
TMED10,Coronary artery disease
BLM,Coronary artery disease
SLC5A3,Coronary artery disease
LOX,Coronary artery disease
ITGB5,Coronary artery disease
RAD50,Asthma
SCG3,Asthma
PDE4D,Asthma
IL13,Asthma
IL18R1,Asthma
IL33,Asthma
GSDMA,Asthma
IL2RB,Asthma
SMAD3,Asthma
GSDMB,Asthma
SLC22A5,Asthma
RORA,Asthma
CRB1,Asthma
DENND1B,Asthma
ORMDL3,Asthma
IL1RL1,Asthma
HLA-DRA,Asthma
BTNL2,Asthma
NDFIP1,Asthma
ACO1,Asthma
ZNF665,Asthma
IL1R1,Asthma
SLC30A8,Asthma
GAB1,Asthma
TSLP,Asthma
PBX2,Asthma
NOTCH4,Asthma
IKZF4,Asthma
CDK2,Asthma
HLA-DQB1,Asthma
HLA-DQA2,Asthma
HLA-DOA,Asthma
PCDH20,Asthma
PRKG1,Asthma
IL6R,Asthma
LRRC32,Asthma
HLA-DQA1,Asthma
CRCT1,Asthma
C11orf71,Asthma
PYHIN1,Asthma
ZPBP2,Asthma
HLA-DRB5,Asthma
RANBP6,Asthma
SLC25A46,Asthma
IL1RL2,Asthma
HLA-C,Asthma
MICA,Asthma
D2HGDH,Asthma
CLEC16A,Asthma
B4GALT3,Asthma
ADAMTS4,Asthma
GATA3,Asthma
TPD52,Asthma
ZBTB10,Asthma
TLR1,Asthma
BACH2,Asthma
STAT6,Asthma
LRP1,Asthma
LPP,Asthma
ADORA1,Asthma
ID2,Asthma
CD247,Asthma
RAD51B,Asthma
CDHR3,Asthma
TNFSF18,Asthma
TNFSF4,Asthma
PEX14,Asthma
MYC,Asthma
TGFBR1,Asthma
TNFSF15,Asthma
TRAF1,Asthma
NEK6,Asthma
ZDHHC12,Asthma
ARRDC1,Asthma
IL2RA,Asthma
ZNF365,Asthma
KIF11,Asthma
MUC2,Asthma
PRR5L,Asthma
FADS2,Asthma
OVOL1,Asthma
SIK2,Asthma
CXCR5,Asthma
ETS1,Asthma
HDAC7,Asthma
TESPA1,Asthma
TBL1XR1,Asthma
NRROS,Asthma
ADAD1,Asthma
OTULINL,Asthma
TNFAIP8,Asthma
RAPGEF6,Asthma
CYFIP2,Asthma
SLU7,Asthma
ATP10B,Asthma
SLC34A1,Asthma
MYLK4,Asthma
HIVEP1,Asthma
MBOAT1,Asthma
BTN3A2,Asthma
TRIM27,Asthma
RING1,Asthma
ATG5,Asthma
SESN1,Asthma
PTPRK,Asthma
AHI1,Asthma
TNFAIP3,Asthma
HIVEP2,Asthma
ZC3H12D,Asthma
SCAF8,Asthma
ABCB5,Asthma
IL6,Asthma
JAZF1,Asthma
IKZF1,Asthma
GSAP,Asthma
MAF1,Asthma
SHARPIN,Asthma
COL15A1,Asthma
SCUBE3,Asthma
KYNU,Asthma
DPP4,Asthma
CCL20,Asthma
RAF1,Asthma
PLCL2,Asthma
GLB1,Asthma
DCAF1,Asthma
RYBP,Asthma
CD200R1,Asthma
CD80,Asthma
ZBTB38,Asthma
IL7R,Asthma
PTCD2,Asthma
ABO,Asthma
EYA2,Asthma
RTEL1,Asthma
RUNX1,Asthma
PCP4,Asthma
UBASH3A,Asthma
MAP3K8,Asthma
RASGEF1A,Asthma
FUT11,Asthma
WBP1L,Asthma
MUC16,Asthma
MYO9B,Asthma
SLC7A10,Asthma
BCL3,Asthma
FOXA3,Asthma
NFATC2,Asthma
ZNF217,Asthma
NCF4,Asthma
PHF5A,Asthma
RERE,Asthma
TNFRSF8,Asthma
RUNX3,Asthma
COL16A1,Asthma
ADAMTSL4,Asthma
FLG,Asthma
CADM3,Asthma
FCER1G,Asthma
PTPRC,Asthma
SRGAP2,Asthma
BATF3,Asthma
ITPKB,Asthma
LBH,Asthma
DYSF,Asthma
TSPAN8,Asthma
PLXNC1,Asthma
BRAP,Asthma
SPPL3,Asthma
COG6,Asthma
KLF12,Asthma
UBAC2,Asthma
NFKBIA,Asthma
TRAF3,Asthma
ITPKA,Asthma
ADAMTSL3,Asthma
IL4R,Asthma
NOD2,Asthma
MAP2K4,Asthma
STAT5B,Asthma
SPATA32,Asthma
OSBPL7,Asthma
SOCS3,Asthma
SMAD7,Asthma
POLI,Asthma
TNFRSF11A,Asthma
SERPINB7,Asthma
GNA15,Asthma
MPND,Asthma
CD70,Asthma
ACO2,Asthma
RTF1,Asthma
PRDM11,Asthma
FADS1,Asthma
AQP5,Asthma
SUOX,Asthma
ZNF652,Asthma
PHB,Asthma
SMAD4,Asthma
PRKCH,Asthma
RIN3,Asthma
RCOR1,Asthma
FURIN,Asthma
TRAP1,Asthma
CCL22,Asthma
SPEM2,Asthma
ATP6V0A1,Asthma
NAGLU,Asthma
ATXN2,Asthma
UNC13D,Asthma
PITPNM2,Asthma
TM9SF2,Asthma
KLF2,Asthma
FPR3,Asthma
BCL2L11,Asthma
ITGAV,Asthma
AP1S3,Asthma
UBE2E2,Asthma
PAPOLG,Asthma
CEP85,Asthma
PLCL1,Asthma
DOCK3,Asthma
ARHGEF3,Asthma
FOXP1,Asthma
SENP7,Asthma
EEFSEC,Asthma
MECOM,Asthma
NDUFS2,Asthma
BOLL,Asthma
TLR10,Asthma
IL2,Asthma
MAP3K14,Asthma
TNFRSF6B,Asthma
TOB2,Asthma
ADAMTS9,Asthma
NUF2,Asthma
PBX1,Asthma
GLT1D1,Asthma
TMEM132D,Asthma
NEGR1,Asthma
LRRIQ3,Asthma
ITSN2,Asthma
NCOA1,Asthma
ARPP21,Asthma
STAC,Asthma
ARHGAP5,Asthma
AKAP6,Asthma
ARID4B,Asthma
RBM34,Asthma
GGPS1,Asthma
ERBB2,Asthma
PGAP3,Asthma
MIEN1,Asthma
IL4,Asthma
VPS13C,Asthma
GJA10,Asthma
MAP3K7,Asthma
CELF2,Asthma
DEXI,Asthma
SOCS1,Asthma
NAB2,Asthma
SPRY4,Asthma
GPX5,Asthma
THRB,Asthma
NR1D2,Asthma
RARB,Asthma
MICB,Asthma
MCCD1,Asthma
EMSY,Asthma
SMAD6,Asthma
AAGAB,Asthma
HLA-DRB1,Asthma
NNMT,Asthma
SEMG2,Asthma
GLI3,Asthma
INHBA,Asthma
C7orf25,Asthma
TMEM9,Asthma
IGFN1,Asthma
BMPER,Asthma
BBS9,Asthma
NPSR1,Asthma
ARHGAP42,Asthma
CNTN5,Asthma
C20orf194,Asthma
SLC4A11,Asthma
ATRN,Asthma
TRPS1,Asthma
EIF3H,Asthma
TMPRSS15,Asthma
NCAM2,Asthma
TNFRSF11B,Asthma
SAMD12,Asthma
COLEC10,Asthma
GDNF,Asthma
EGFLAM,Asthma
IFI44,Asthma
CFHR2,Asthma
CFHR5,Asthma
GNPDA1,Asthma
IRF1,Asthma
GRB7,Asthma
IKZF3,Asthma
FER,Asthma
ZBTB39,Asthma
FBXO11,Asthma
TRPM8,Asthma
GRID1,Asthma
SGCG,Asthma
PDGFRA,Asthma
MAGI1,Asthma
