id,node,node.type,node.label,pln
g0629,ANKHD1-EIF4EBP3,1,GENE,General
g0630,ANKIB1,1,GENE,General
g0631,ANKK1,1,GENE,General
g0632,ANKLE1,1,GENE,General
g0633,ANKLE2,1,GENE,General
g0634,ANKMY1,1,GENE,General
g0635,ANKMY2,1,GENE,General
g0636,ANKRA2,1,GENE,General
g0637,ANKRD1,1,GENE,General
g0638,ANKRD10,1,GENE,General
g0639,ANKRD11,1,GENE,General
g0640,ANKRD12,1,GENE,General
g0641,ANKRD13A,1,GENE,General
g0642,ANKRD13B,1,GENE,General
g0643,ANKRD13C,1,GENE,General
g0644,ANKRD13D,1,GENE,General
g0645,ANKRD16,1,GENE,General
g0646,ANKRD17,1,GENE,General
g0647,ANKRD18A,1,GENE,General
g0648,ANKRD18B,1,GENE,General
g0649,ANKRD2,1,GENE,General
g0650,ANKRD20A2,1,GENE,General
g0651,ANKRD20A4,1,GENE,General
g0652,ANKRD22,1,GENE,General
g0653,ANKRD23,1,GENE,General
g0654,ANKRD24,1,GENE,General
g0655,ANKRD26,1,GENE,General
g0656,ANKRD27,1,GENE,General
g0657,ANKRD28,1,GENE,General
g0658,ANKRD29,1,GENE,General
g0659,ANKRD30A,1,GENE,General
g0660,ANKRD30B,1,GENE,General
g0661,ANKRD31,1,GENE,General
g0662,ANKRD33,1,GENE,General
g0663,ANKRD33B,1,GENE,General
g0664,ANKRD34B,1,GENE,General
g0665,ANKRD34C,1,GENE,General
g0666,ANKRD35,1,GENE,General
g0667,ANKRD36,1,GENE,General
g0668,ANKRD36C,1,GENE,General
g0669,ANKRD37,1,GENE,General
g0670,ANKRD39,1,GENE,General
g0671,ANKRD40,1,GENE,General
g0672,ANKRD42,1,GENE,General
g0673,ANKRD44,1,GENE,General
g0674,ANKRD45,1,GENE,General
g0675,ANKRD46,1,GENE,General
g0676,ANKRD49,1,GENE,General
g0677,ANKRD50,1,GENE,General
g0678,ANKRD52,1,GENE,General
g0679,ANKRD53,1,GENE,General
g0680,ANKRD54,1,GENE,General
g0681,ANKRD55,1,GENE,General
g0682,ANKRD6,1,GENE,General
g0683,ANKRD60,1,GENE,General
g0684,ANKRD61,1,GENE,General
g0685,ANKRD62,1,GENE,General
g0686,ANKRD63,1,GENE,General
g0687,ANKRD65,1,GENE,General
g0688,ANKRD7,1,GENE,General
g0689,ANKRD9,1,GENE,General
g0690,ANKS1A,1,GENE,General
g0691,ANKS1B,1,GENE,General
g0692,ANKS3,1,GENE,General
g0693,ANKS4B,1,GENE,General
g0694,ANKS6,1,GENE,General
g0695,ANKUB1,1,GENE,General
g0696,ANKZF1,1,GENE,General
g0697,ANLN,1,GENE,General
g0698,ANO1,1,GENE,General
g0699,ANO10,1,GENE,General
g0700,ANO2,1,GENE,General
g0701,ANO3,1,GENE,General
g0702,ANO4,1,GENE,General
g0703,ANO5,1,GENE,General
g0704,ANO6,1,GENE,General
g0705,ANO7,1,GENE,General
g0706,ANO8,1,GENE,General
g0707,ANO9,1,GENE,General
g0708,ANP32A,1,GENE,General
g0709,ANP32B,1,GENE,General
g0710,ANP32D,1,GENE,General
g0711,ANP32E,1,GENE,General
g0712,ANPEP,1,GENE,General
g0713,ANTXR1,1,GENE,General
g0714,ANTXR2,1,GENE,General
g0715,ANXA1,1,GENE,General
g0716,ANXA10,1,GENE,General
g0717,ANXA11,1,GENE,General
g0718,ANXA13,1,GENE,General
g0719,ANXA2,1,GENE,General
g0720,ANXA2R,1,GENE,General
g0721,ANXA3,1,GENE,General
g0722,ANXA4,1,GENE,General
g0723,ANXA5,1,GENE,General
g0724,ANXA6,1,GENE,General
g0725,ANXA7,1,GENE,General
g0726,ANXA9,1,GENE,General
g0727,AOAH,1,GENE,General
g0728,AOC1,1,GENE,General
g0729,AOC2,1,GENE,General
g0730,AOC3,1,GENE,General
g0731,AOX1,1,GENE,General
g0732,AP1AR,1,GENE,General
